Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108096482331424,0,248380.63705000983,0,33394.71341682376
Session Window -> DummyLatencySink,50000,1,1,1,1,1108096480109428,35367.63081727716,0.0,33146.16153616744,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108106492041234,0,288485.865031974,0,32432.329957082075
Session Window -> DummyLatencySink,50000,1,1,1,1,1108106492615973,34255.38990021814,0.0,32403.161093697134,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108116502767432,0,284529.29095877556,0,32415.001768176367
Session Window -> DummyLatencySink,50000,1,1,1,1,1108116519027943,34198.86715530024,0.0,32480.80991803451,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108126504958601,0,281546.3619920394,0,32649.820827274973
Session Window -> DummyLatencySink,50000,1,1,1,1,1108126535817943,34494.47419915088,0.0,32590.179717324972,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108136518806320,0,267071.7698717576,0,32632.154440676462
Session Window -> DummyLatencySink,50000,1,1,1,1,1108136563399539,34436.09178487212,0.0,32707.186530577303,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108146527732528,0,270858.52941616334,0,32875.27837362155
Session Window -> DummyLatencySink,50000,1,1,1,1,1108146577818792,34614.41241754914,0.0,32879.65821355485,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108156535862367,0,269471.05955659883,0,32011.839712745987
Session Window -> DummyLatencySink,50000,1,1,1,1,1108156595015595,33772.386798573025,0.0,32064.893933335683,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108166543478243,0,270189.46733696805,0,32180.813150450795
Session Window -> DummyLatencySink,50000,1,1,1,1,1108166610921081,34115.04185796007,0.0,32384.78877355745,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108176548000235,0,272035.9199487849,0,32055.98452413693
Session Window -> DummyLatencySink,50000,1,1,1,1,1108176620589247,34059.69048159672,0.0,32392.151733678973,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108186564799336,0,266404.9068268527,0,32744.596469804274
Session Window -> DummyLatencySink,50000,1,1,1,1,1108186625558176,33878.8982757026,0.0,32188.58572134927,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108196571607096,0,264749.2060922085,0,32940.063590020756
Session Window -> DummyLatencySink,50000,1,1,1,1,1108196649177430,34935.23599948523,0.0,33165.38884274957,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108206577572364,0,263669.35624343355,0,32572.691801241857
Session Window -> DummyLatencySink,50000,1,1,1,1,1108206666242507,34122.83471783632,0.0,32442.154162454357,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108216597046818,0,263653.15719337313,0,32311.937557333997
Session Window -> DummyLatencySink,50000,1,1,1,1,1108216692058365,34089.023947824026,0.0,32350.64560844421,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108226613193463,0,262291.5004035082,0,32387.660889914925
Session Window -> DummyLatencySink,50000,1,1,1,1,1108226695467960,34094.825369049024,0.0,32412.18785601563,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108236624373017,0,266261.454524407,0,32562.180726669554
Session Window -> DummyLatencySink,50000,1,1,1,1,1108236720694401,34266.16457717486,0.0,32595.312006378717,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108246628845907,0,278387.2111060147,0,32504.54682270501
Session Window -> DummyLatencySink,50000,1,1,1,1,1108246743797992,34286.03846737906,0.0,32577.06618133119,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108256636928060,0,283301.7933488071,0,33299.17584656726
Session Window -> DummyLatencySink,50000,1,1,1,1,1108256763490437,35166.05938554605,0.0,33355.46300542121,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108266643021963,0,283661.1699264998,0,31972.843767831924
Session Window -> DummyLatencySink,50000,1,1,1,1,1108266788589014,34028.73788912454,0.0,32371.4707523501,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108276646039702,0,288462.44505945576,0,32009.9851860129
Session Window -> DummyLatencySink,50000,1,1,1,1,1108276805967560,33989.75853714336,0.0,32251.50405261067,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108286661272251,0,278294.46271068294,0,32635.194809444984
